1, Joseph McGonigle ,Ciaran Geaney ,Co. Donegal ,Skoda Fabia R5 ,5
2, Brendan Cumiskey ,Ronan O’Kane ,Co. Monaghan ,Ford Fiesta ,5
3, Jonathan Pringle ,Alan Keena ,Co. Meath ,Ford Escort Mk2 ,14
4, Daniel Cronin ,Shane Buckley ,Co. Cork ,Mitsubishi Evo ,20
5, Callum Devine ,Keith Moriarty ,Co. Londonderry ,Skoda Fabia ,5
6, Pauric Duffy ,Jeff Case ,Australia ,Ford Fiesta R5 ,5
7, George Condell ,Gavin Sheehan ,Co. Carlow ,Toyota Starlet ,13
8, ED Murphy ,John McCarthy ,Co. Kerry ,Ford Escort ,14
9, Vincent McSweeney ,Michael Kearney ,Co. Cork ,Honda Civic ,11F
10, Simon Reid ,Gavin Downey ,Co.Waterford ,Honda Civic ,11F
11, Jason McSweeney ,Liam Brennan ,Co. Cork ,Mitsubishi Evo 8 ,20
12, Jer O’Donovan ,Dereck Tobin ,Co. Cork ,Subaru Impreza GpN ,5
14, Colin Byrne ,TBA ,Co. Cork , Ford Escort RS Mk2 ,14
15, Kevin O’donoghue ,Diarmuid Lynch ,Co.Kerry ,BMW M3 ,14
16, Jason Ryan ,Finbarr Quirke ,Co.Cork ,Honda Civic ,11F
17, Jason O’Mahony ,Breda O’Driscoll ,Co. Cork ,Honda Civic ,11F
18, Vincent O’Shea ,Brian Hickey ,Co. Kerry ,Ford Escort ,14
19, Charlie Hickey ,Johnny Hickey ,Co. Kerry ,Ford Escort RS ,14
20, Gary McNamee ,Dean O’Sullivan ,Co. Meath , Honda Civic ,11F
21, Cal McCarthy ,Eammon Dullea ,Co. Cork ,Citroen C2 R2 ,2
22, Philip Cross ,Tony Hennessy ,Co. Cork ,Mitsubishi Evo 9 ,4
23, Eoghan Calnan ,Conor Calnan ,Co. Cork ,Ford Escort ,13
24, Liam Bowhan ,Martin Connolly ,Co. Louth ,Toyota Starlet RWD ,13
25, John Hickey ,TBA ,Co. Kerry ,Fubaru Escort RS 4x4 ,20
26, Tim Enright ,Stephen Buckley ,Co. Kerry ,Ford Escort Mk2 ,13
27, Allen Treacy ,Eoin Treacy ,Cork , Toyota Corolla GT ,11R
28, Jer O’Flynn ,Neil Flynn ,Co. Cork ,Ford Escort Mk2 ,13
29, James Fitzgerald ,Mossie O’Connell ,Co. Cork ,Honda Civic ,11F
30, Seanie McGrath ,Ger Clancy ,Co. Cork ,Honda Civic ,16
